reference,country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,billionaires
2016Afghanistan,Afghanistan,2016,4.22,7.697,0.559,53,0.523,0.042,0.793,0.565,0.348,0
2016Albania,Albania,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,0
2016Algeria,Algeria,2016,5.341,9.362,0.749,65.5,,,,0.661,0.377,0
2016Argentina,Argentina,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312,0
2016Armenia,Armenia,2016,4.325,9.333,0.709,66.3,0.611,-0.17,0.921,0.594,0.437,0
2016Australia,Australia,2016,7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236,6
2016Austria,Austria,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,2
2016Azerbaijan,Azerbaijan,2016,5.304,9.564,0.777,64.9,0.713,-0.204,0.607,0.598,0.191,0
2016Bahrain,Bahrain,2016,6.17,10.781,0.863,68.1,0.889,0.088,,0.787,0.283,0
2016Bangladesh,Bangladesh,2016,4.556,8.274,0.649,63.3,0.875,-0.089,0.688,0.56,0.235,0
2016Belarus,Belarus,2016,5.178,9.788,0.927,65.5,0.658,-0.125,0.664,0.554,0.182,0
2016Belgium,Belgium,2016,6.949,10.819,0.929,71.6,0.866,-0.056,0.497,0.765,0.26,1
2016Benin,Benin,2016,4.007,7.993,0.493,53.5,0.78,-0.065,0.838,0.608,0.456,0
2016Bolivia,Bolivia,2016,5.77,9.012,0.796,63,0.882,-0.047,0.853,0.783,0.376,0
2016Bosnia and Herzegovina,Bosnia and Herzegovina,2016,5.181,9.5,0.808,67.2,0.633,0.134,0.957,0.641,0.304,0
2016Botswana,Botswana,2016,3.499,9.748,0.768,57.5,0.852,-0.253,0.729,0.686,0.252,0
2016Brazil,Brazil,2016,6.375,9.578,0.912,66,0.807,-0.1,0.781,0.763,0.302,9
2016Bulgaria,Bulgaria,2016,4.838,9.928,0.926,66.4,0.7,-0.17,0.936,0.622,0.172,0
2016Burkina Faso,Burkina Faso,2016,4.206,7.596,0.764,52.9,0.645,-0.001,0.721,0.616,0.337,0
2016Cambodia,Cambodia,2016,4.461,8.225,0.746,60.8,0.958,0.076,0.84,0.839,0.398,0
2016Cameroon,Cameroon,2016,4.816,8.167,0.659,51.1,0.713,-0.003,0.879,0.662,0.367,0
2016Canada,Canada,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,0.825,0.237,9
2016Central African Republic,Central African Republic,2016,2.693,6.785,0.29,44.9,0.624,0.033,0.859,0.579,0.494,0
2016Chad,Chad,2016,4.029,7.431,0.616,47.2,0.525,0.052,0.82,0.582,0.468,0
2016Chile,Chile,2016,6.579,10.074,0.841,69.7,0.652,0.102,0.858,0.869,0.283,3
2016China,China,2016,5.325,9.51,0.742,68.7,,-0.228,,0.826,0.146,50
2016Colombia,Colombia,2016,6.234,9.571,0.882,67.1,0.835,-0.1,0.898,0.794,0.294,1
2016Congo (Brazzaville),Congo (Brazzaville),2016,4.119,8.19,0.615,56.7,0.786,-0.072,0.79,0.61,0.304,0
2016Congo (Kinshasa),Congo (Kinshasa),2016,4.522,6.962,0.864,52.5,0.637,-0.024,0.875,0.646,0.222,0
2016Costa Rica,Costa Rica,2016,7.136,9.83,0.901,70.9,0.873,-0.032,0.781,0.874,0.281,0
2016Croatia,Croatia,2016,5.417,10.146,0.798,69,0.672,-0.065,0.884,0.614,0.337,0
2016Cyprus,Cyprus,2016,5.795,10.506,0.786,73.3,0.756,-0.03,0.898,0.742,0.336,1
2016Czech Republic,Czech Republic,2016,6.736,10.518,0.931,69.3,0.85,-0.197,0.9,0.756,0.201,2
2016Denmark,Denmark,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.836,0.208,6
2016Dominican Republic,Dominican Republic,2016,5.239,9.691,0.895,65.2,0.873,-0.08,0.737,0.76,0.278,0
2016Ecuador,Ecuador,2016,6.115,9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365,0
2016Egypt,Egypt,2016,4.557,9.287,0.809,61.1,0.656,-0.141,0.818,0.611,0.37,1
