reference,year,country,billionaires,sum_net_worth,rate,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2016Argentina,2016,Argentina,1,4.5,0.002,6.427,10.051,0.883,68.4,0.848,-0.192,0.851
2016Australia,2016,Australia,5,28.3,0.01,7.25,10.791,0.942,73,0.922,0.239,0.399
2016Austria,2016,Austria,2,21.2,0.004,7.048,10.891,0.926,72.4,0.889,0.08,0.524
2016Belgium,2016,Belgium,1,4.9,0.002,6.949,10.819,0.929,71.6,0.866,-0.056,0.497
2016Brazil,2016,Brazil,9,91.8,0.018,6.375,9.578,0.912,66,0.807,-0.1,0.781
2016Canada,2016,Canada,11,74.8,0.022,7.245,10.773,0.924,73.2,0.912,0.211,0.385
2016Chile,2016,Chile,2,13.8,0.004,6.579,10.074,0.841,69.7,0.652,0.102,0.858
2016China,2016,China,38,252,0.076,5.325,9.51,0.742,68.7,,-0.228,
2016Colombia,2016,Colombia,1,8.9,0.002,6.234,9.571,0.882,67.1,0.835,-0.1,0.898
2016Cyprus,2016,Cyprus,1,8.5,0.002,5.795,10.506,0.786,73.3,0.756,-0.03,0.898
2016Czech Republic,2016,Czech Republic,1,10.6,0.002,6.736,10.518,0.931,69.3,0.85,-0.197,0.9
2016Denmark,2016,Denmark,3,22.1,0.006,7.558,10.903,0.954,71.8,0.948,0.138,0.21
2016Egypt,2016,Egypt,1,3.7,0.002,4.557,9.287,0.809,61.1,0.656,-0.141,0.818
2016Finland,2016,Finland,1,3.5,0.002,7.66,10.74,0.954,71.7,0.948,-0.027,0.25
2016France,2016,France,15,167.8,0.03,6.475,10.69,0.885,73.4,0.787,-0.091,0.623
2016Georgia,2016,Georgia,1,4.8,0.002,4.448,9.47,0.533,64.9,0.606,-0.249,0.561
2016Germany,2016,Germany,41,317.1,0.082,6.874,10.858,0.906,71.6,0.871,0.148,0.446
2016India,2016,India,19,137.8,0.038,4.179,8.673,0.614,59.3,0.82,0.046,0.765
2016Indonesia,2016,Indonesia,4,25.1,0.008,5.136,9.262,0.792,61.7,0.83,0.5,0.89
2016Ireland,2016,Ireland,3,24.5,0.006,7.041,11.199,0.958,72.1,0.875,0.174,0.399
2016Israel,2016,Israel,5,26.6,0.01,7.159,10.555,0.89,72.9,0.772,0.153,0.804
2016Italy,2016,Italy,9,89.1,0.018,5.955,10.622,0.927,73.2,0.624,-0.081,0.903
2016Japan,2016,Japan,9,58.6,0.018,5.955,10.595,0.9,74.8,0.836,-0.062,0.698
2016Mexico,2016,Mexico,7,86.4,0.014,6.824,9.884,0.893,67.7,0.752,-0.153,0.809
2016Netherlands,2016,Netherlands,2,16.2,0.004,7.541,10.899,0.926,72.1,0.907,0.239,0.433
2016New Zealand,2016,New Zealand,1,6.4,0.002,7.226,10.623,0.937,72.8,0.927,0.266,0.278
2016Nigeria,2016,Nigeria,2,25.4,0.004,5.22,8.573,0.805,48.9,0.798,0.043,0.905
2016Norway,2016,Norway,1,4.2,0.002,7.596,11.035,0.96,73,0.954,0.133,0.41
2016Philippines,2016,Philippines,4,25.6,0.008,5.431,8.95,0.821,61.7,0.908,-0.071,0.792
2016Poland,2016,Poland,1,3.6,0.002,6.162,10.266,0.917,68.5,0.871,-0.091,0.848
2016Portugal,2016,Portugal,1,4.1,0.002,5.447,10.37,0.905,72,0.838,-0.225,0.922
2016Russia,2016,Russia,25,194.7,0.05,5.855,10.149,0.911,63.5,0.714,-0.181,0.925
2016Saudi Arabia,2016,Saudi Arabia,3,29,0.006,6.474,10.792,0.89,65.7,0.774,-0.132,
2016Singapore,2016,Singapore,4,21.8,0.008,6.033,11.419,0.925,76.2,0.904,0.143,0.047
2016South Africa,2016,South Africa,3,17.7,0.006,4.77,9.45,0.875,55.7,0.774,-0.07,0.813
2016South Korea,2016,South Korea,5,31.3,0.01,5.971,10.593,0.811,73,0.591,0.026,0.862
2016Spain,2016,Spain,4,82.2,0.008,6.319,10.56,0.942,73.8,0.768,-0.048,0.819
2016Sweden,2016,Sweden,13,88.7,0.026,7.369,10.861,0.912,72.4,0.918,0.146,0.246
2016Switzerland,2016,Switzerland,9,50.6,0.018,7.459,11.106,0.928,73.5,0.934,0.088,0.302
2016Thailand,2016,Thailand,3,21.2,0.006,6.074,9.729,0.908,66.8,0.924,0.356,0.878
2016United Arab Emirates,2016,United Arab Emirates,2,9.9,0.004,6.831,11.105,0.849,66.7,0.949,0.131,
2016United Kingdom,2016,United Kingdom,15,98.5,0.03,6.824,10.724,0.954,71.9,0.821,0.25,0.458
2016United States,2016,United States,183,1723.2,0.366,6.804,10.986,0.897,68.5,0.758,0.144,0.739
2016Venezuela,2016,Venezuela,1,3.7,0.002,4.041,9.01,0.902,66.1,0.458,-0.155,0.89
2017Australia,2017,Australia,6,43.2,0.012,7.257,10.798,0.95,73.3,0.911,0.317,0.411
2017Austria,2017,Austria,2,20.6,0.004,7.294,10.908,0.906,72.7,0.89,0.133,0.518
2017Belgium,2017,Belgium,1,4.9,0.002,6.928,10.834,0.922,71.8,0.857,0.054,0.543
2017Brazil,2017,Brazil,9,100.3,0.018,6.333,9.583,0.905,66.2,0.765,-0.175,0.794
2017Canada,2017,Canada,10,80.8,0.02,7.415,10.792,0.934,73.4,0.945,0.163,0.362
2017Chile,2017,Chile,2,18.4,0.004,6.32,10.072,0.88,69.8,0.79,-0.02,0.836
2017China,2017,China,40,341.8,0.08,5.099,9.571,0.772,69,0.878,-0.175,
2017Colombia,2017,Colombia,1,11,0.002,6.157,9.569,0.909,67.4,0.838,-0.157,0.875
2017Cyprus,2017,Cyprus,1,9.9,0.002,6.062,10.539,0.819,73.5,0.812,0.043,0.851
2017Czech Republic,2017,Czech Republic,1,12.2,0.002,6.79,10.558,0.901,69.8,0.832,-0.177,0.867
2017Denmark,2017,Denmark,3,31.2,0.006,7.594,10.916,0.952,72.1,0.955,0.155,0.181
2017Egypt,2017,Egypt,2,9.5,0.004,3.929,9.307,0.638,61.4,0.593,-0.152,
2017France,2017,France,16,201.5,0.032,6.635,10.711,0.931,73.6,0.834,-0.123,0.601
2017Georgia,2017,Georgia,1,4.5,0.002,4.451,9.517,0.59,64.7,0.821,-0.244,0.59
2017Germany,2017,Germany,34,304.8,0.068,7.074,10.878,0.892,71.9,0.841,0.145,0.414
2017India,2017,India,21,171.9,0.042,4.046,8.73,0.607,59.7,0.886,-0.042,0.781
2017Indonesia,2017,Indonesia,4,27.9,0.008,5.098,9.3,0.796,61.9,0.865,0.488,0.9
2017Ireland,2017,Ireland,3,25.6,0.006,7.06,11.266,0.943,72.2,0.905,0.216,0.337
2017Israel,2017,Israel,4,24.6,0.008,7.331,10.57,0.916,73.1,0.768,0.145,0.793
2017Italy,2017,Italy,9,94.1,0.018,6.199,10.64,0.92,73.4,0.633,-0.035,0.867
2017Japan,2017,Japan,6,63.8,0.012,5.911,10.618,0.882,74.9,0.849,-0.206,0.659
2017Mexico,2017,Mexico,7,99.9,0.014,6.41,9.893,0.8,68,0.861,-0.202,0.801
2017Netherlands,2017,Netherlands,2,17,0.004,7.459,10.921,0.937,72.2,0.92,0.25,0.363
2017New Zealand,2017,New Zealand,1,9.5,0.002,7.327,10.633,0.955,73,0.942,0.294,0.222
2017Nigeria,2017,Nigeria,2,18,0.004,5.322,8.555,0.733,49.3,0.826,0.124,0.835
2017Norway,2017,Norway,1,5.3,0.002,7.579,11.05,0.95,73.1,0.953,0.236,0.25
2017Philippines,2017,Philippines,2,18.5,0.004,5.594,9.002,0.851,61.8,0.926,-0.141,0.711
2017Portugal,2017,Portugal,1,4.4,0.002,5.711,10.407,0.9,72.2,0.905,-0.176,0.881
2017Russia,2017,Russia,28,268.7,0.056,5.579,10.166,0.896,63.9,0.731,-0.145,0.862
2017Saudi Arabia,2017,Saudi Arabia,3,30.6,0.006,6.294,10.764,0.84,66,0.814,-0.131,
2017Singapore,2017,Singapore,5,29.9,0.01,6.378,11.461,0.897,76.5,0.926,0.136,0.162
2017South Africa,2017,South Africa,3,18.7,0.006,4.514,9.45,0.87,56.1,0.787,-0.129,0.865
2017South Korea,2017,South Korea,6,41.9,0.012,5.874,10.621,0.807,73.3,0.538,0.014,0.851
2017Spain,2017,Spain,3,83.1,0.006,6.23,10.586,0.903,74.1,0.756,-0.032,0.791
2017Sweden,2017,Sweden,11,82.4,0.022,7.287,10.873,0.914,72.5,0.935,0.17,0.239
2017Switzerland,2017,Switzerland,11,59.2,0.022,7.474,11.115,0.95,73.8,0.925,0.18,0.316
2017Thailand,2017,Thailand,4,33.6,0.008,5.939,9.765,0.877,67,0.923,0.212,0.884
2017Ukraine,2017,Ukraine,1,4.6,0.002,4.311,9.382,0.858,64.3,0.599,-0.002,0.937
2017United Arab Emirates,2017,United Arab Emirates,3,21.5,0.006,7.039,11.115,0.836,66.9,0.962,0.216,
2017United Kingdom,2017,United Kingdom,13,88.8,0.026,7.103,10.736,0.937,72.1,0.813,0.291,0.419
